timestamp(ms),setpoint,measured,
"1696520197.075",,"12.6",
"1696520197.095","20.43",,
"1696520197.097",,"12.47",
"1696520197.118","20.43",,
"1696520197.12",,"12.63",
"1696520197.14","20.43",,
"1696520197.142",,"12.56",
"1696520197.162","20.43",,
"1696520197.163",,"12.63",
"1696520197.191","20.43",,
"1696520197.192",,"12.79",
"1696520197.215","20.43",,
"1696520197.216",,"12.77",
"1696520197.236","20.43",,
"1696520197.238",,"12.73",
"1696520197.258","20.43",,
"1696520197.26",,"12.88",
"1696520197.29","20.43",,
"1696520197.291",,"12.63",
"1696520197.312","20.43",,
"1696520197.314",,"12.61",
"1696520197.334","20.43",,
"1696520197.336",,"12.59",
"1696520197.356","20.43",,
"1696520197.358",,"12.5",
"1696520197.379","20.43",,
"1696520197.38",,"12.63",
"1696520197.403","20.43",,
"1696520197.404",,"12.59",
"1696520197.424","20.43",,
"1696520197.426",,"12.62",
"1696520197.446","20.43",,
"1696520197.448",,"12.78",
"1696520197.468","20.43",,
"1696520197.47",,"12.75",
"1696520197.498","20.43",,
"1696520197.5",,"12.75",
"1696520197.523","20.43",,
"1696520197.524",,"12.78",
"1696520197.545","20.43",,
"1696520197.547",,"12.7",
"1696520197.567","20.43",,
"1696520197.569",,"12.59",
"1696520197.595","20.43",,
"1696520197.597",,"12.63",
"1696520197.618","20.43",,
"1696520197.62",,"12.6",
"1696520197.641","20.43",,
"1696520197.642",,"12.44",
"1696520197.667","20.43",,
"1696520197.669",,"12.72",
"1696520197.689","20.43",,
"1696520197.691",,"12.58",
"1696520197.711","20.43",,
"1696520197.713",,"12.75",
"1696520197.733","20.43",,
"1696520197.735",,"12.75",
"1696520197.756","20.43",,
"1696520197.757",,"12.75",
"1696520197.777","20.43",,
"1696520197.779",,"12.72",
"1696520197.804","20.43",,
"1696520197.806",,"12.78",
"1696520197.827","20.43",,
"1696520197.829",,"12.65",
"1696520197.849","20.43",,
"1696520197.851",,"12.56",
"1696520197.872","20.43",,
"1696520197.873",,"12.5",
"1696520197.893","20.43",,
"1696520197.895",,"12.47",
"1696520197.916","20.43",,
"1696520197.918",,"12.53",
"1696520197.938","20.43",,
"1696520197.94",,"12.68",
"1696520197.96","20.43",,
"1696520197.962",,"12.63",
"1696520197.983","20.43",,
"1696520197.984",,"12.75",
